課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
5-2,25,知音,zhīyīn,N,"bosom buddy, confidant","tri kỷ, bạn tâm giao",เพื่อนอกคนสนิท,ပွေ့ဖက်၊လူယုံ၊,親友、親友,"가슴 친구, 자신감 있는","amigo íntimo, confidente","sahabat karib, orang kepercayaan",3
5-2,26,想像,xiǎngxiàng,V,to imagine,tưởng tượng,ที่จะจินตนาการ,စိတ်ကူးရန်,想像する,상상하다,imaginar,membayangkan,3
5-2,27,喇叭褲,lǎbākù,N,bell-bottom pants,quần ống loe,กางเกงขากระดิ่ง,ခေါင်းလောင်းဘောင်းဘီ,ベルボトムパンツ,나팔바지 바지,pantalones acampanados,celana dengan model lonceng,3
5-2,28,印象,yìnxiàng,N,impression,ấn tượng,ความประทับใจ,အထင်ကြီးမှု၊,印象,인상,impresión,kesan,3
5-2,29,遊戲,yóuxì,N,game,trò chơi,เกม,ဂိမ်း,ゲーム,게임,juego,permainan,3
5-2,30,化妝,huàzhuāng,V-sep,"to apply cosmetics, to make up",trang điểm,ใช้เครื่องสำอางแต่งหน้า,အလှကုန်လိမ်းရန်၊ မိတ်ကပ်လိမ်းရန်,化粧品を塗る、化粧する,"화장품을 바르다, 화장하다","aplicar cosméticos, maquillar","mengaplikasikan kosmetik, make up",3
5-2,31,一模一樣,yìmó yíyàng,,identical,giống hệt nhau,เหมือนกัน,ထပ်တူထပ်မျှ,同一,동일한,idéntico,identik,3
5-2,32,淺藍色,qiǎn lánsè,,light blue,màu xanh lam nhạt,สีฟ้าอ่อน,အပြာနုရောင်,水色,하늘색,azul claro,biru muda,3
5-2,33,脫掉,tuōdiào,,to take off (clothing),cởi ra (quần áo),ถอด (เสื้อผ้า),ချွတ်ရန် (အဝတ်အစား),（服を）脱ぐ,(옷을) 벗다,quitarse (ropa),melepas (pakaian),3
5-2,34,小題大作,xiǎotí dàzuò,,"to make a mountain out of a molehill, to make a big deal of nothing",việc bé xé ra to,เพื่อสร้างภูเขาขึ้นมาจากจอมปลวก โดยไม่ทำอะไรมากมาย,ဘာမှ ကြီးကြီးမားမား မဖြစ်စေဖို့အတွက် မိုဃ်းကုန်းထဲက တောင်ကို ဖြစ်အောင်၊,モグラ塚から山を作る、何もないから大したことをする,"두더지에서 산을 만들다, 아무것도 아닌 큰 일을 만들다","hacer una montaña de un grano de arena, hacer un gran escándalo de nada","membuat gunung dari sarang tikus mondok, tidak mempermasalahkan apa pun",3
5-2,35,推出,tuīchū,,"to introduce, to roll out (products)","giới thiệu, ra mắt (sản phẩm)","เพื่อแนะนำ, เผยแพร่ (ผลิตภัณฑ์)",မိတ်ဆက်ရန်၊ ဖြန့်ချိရန် (ထုတ်ကုန်များ),（製品を）導入する、展開する,"(제품을) 소개하다, 출시하다","presentar, desplegar (productos)","memperkenalkan, meluncurkan (produk)",3
6-1,1,李文彥,Lǐ Wényàn,,an American-born Chinese,một người Mỹ gốc Hoa,ชาวจีนที่เกิดในอเมริกา,အမေရိကန်နွယ်ဖွား တရုတ်လူမျိုး,アメリカ生まれの中国人,미국 태생의 중국인,un chino nacido en Estados Unidos,seorang Tionghoa kelahiran Amerika,3
6-1,2,表哥,biǎogē,N,"cousin (older male cousin, from a female lineage)","anh họ (con của anh chị em của bố mẹ, lớn tuổi hơn mình)",ลูกพี่ลูกน้อง (ลูกพี่ลูกน้องชายที่มีอายุมากกว่าจากเชื้อสายหญิง),ဝမ်းကွဲ (အသက်ကြီးသော အမျိုးသားဝမ်းကွဲ၊ အမျိုးသမီးမျိုးရိုးမှ)၊,いとこ（女性の血統を持つ、年上の男性のいとこ）,사촌 (여성 계통의 나이 많은 남자 사촌),"primo (primo mayor, de linaje femenino)","sepupu (sepupu laki-laki yang lebih tua, dari garis keturunan perempuan)",3
6-1,3,隨便,suíbiàn,Adv,"as one pleases oneself, to act freely","tùy tiện, qua loa",ตามที่ตนพอใจและกระทำโดยเสรี,လွတ်လွတ်လပ်လပ် လုပ်ရတာ နှစ်သက်သလို၊,自分の好きなように、自由に行動すること,"마음대로, 자유롭게 행동하다","como uno quiera, actuar libremente","sesuka hati seseorang, bertindak bebas",3
6-1,4,種,zhòng,V,to grow (plants),trồng (cây),ที่จะเติบโต (พืช),စိုက်ပျိုးရန် (အပင်များ),（植物を）育てる,(식물을) 키우다,crecer (plantas),tumbuh (tanaman),3
6-1,5,蔬菜,shūcài,N,vegetable,rau củ,ผัก,ဟင်းသီးဟင်းရွက်,野菜,채소,verdura,sayuran,3
6-1,6,農夫,nóngfū,N,farmer,người nông dân,ชาวนา,လယ်သမား,農家,농장주,agricultor,petani,3
6-1,7,減少,jiǎnshǎo,V,"to reduce, to decrease",giảm bớt,เพื่อลดลดลง,လျှော့ချရန်၊ လျှော့ချရန်,減らす、減らす,"감소시키다, 감소시키다","reducir, disminuir","mengurangi, mengurangi",3
6-1,8,農藥,nóngyào,N,pesticide,thuốc trừ sâu,ยาฆ่าแมลง,ပိုးသတ်ဆေး,殺虫剤,농약,pesticida,pestisida,3
6-1,9,天然,tiānrán,Vs-attr,natural,tự nhiên,เป็นธรรมชาติ,သဘာဝ,自然,자연스러운,natural,alami,3
6-1,10,堆肥,duīféi,N,compost,phân compost,ปุ๋ยหมัก,မြေဆွေး,堆肥,퇴비,compost,kompos,3
6-1,11,辛苦,xīnkǔ,Vs,"tough, hard, bitter (life, work, etc.)","vất vả, cực nhọc","ยาก, ยาก, ขมขื่น (ชีวิต, การงาน ฯลฯ)",ခက်တယ်၊ ခက်တယ်၊ ခါးတယ် (ဘဝ၊ အလုပ် စသဖြင့်)၊,厳しい、厳しい、苦い（人生、仕事など）,"힘든, 힘든, 쓰라린 (생활, 일 등)","duro, duro, amargo (vida, trabajo, etc.)","tangguh, keras, pahit (hidup, pekerjaan, dll.)",3
6-1,12,地位,dìwèi,N,"position, status",địa vị,ตำแหน่งสถานะ,အနေအထား၊ အနေအထား,地位、地位,"위치, 지위","posición, estatus","posisi, status",3
6-1,13,收入,shōurù,N,income,thu nhập,รายได้,ဝင်ငွေ,所得,소득,ingreso,penghasilan,3
6-1,14,利潤,lìrùn,N,profit,lợi nhuận,กำไร,အမြတ်,利益,이익,ganancia,laba,3
6-1,15,屋子,wūzi,N,house,ngôi nhà,บ้าน (ban),အိမ် (ein),家 (ie),집 (jip),casa,rumah,3
6-1,16,番茄,fānqié,N,tomato,cà chua,มะเขือเทศ,ခရမ်းချဉ်သီး,トマト,토마토,tomate,tomat,3
6-1,17,品種,pǐnzhǒng,N,"variety, species",giống loài,หลากหลายสายพันธุ์,အမျိုးအစား၊ မျိုးစိတ်,品種、種,"다양성, 종","variedad, especie","variasi, spesies",3
6-1,18,氣候,qìhòu,N,climate,khí hậu,ภูมิอากาศ,ရာသီဥတု,気候,기후,clima,iklim,3
6-1,19,長,zhǎng,Vi,to grow,"lớn lên, mọc lên",ที่จะเติบโต,ကြီးထွားရန်,成長する,성장하다,crecer,tumbuh,3
6-1,20,熟,shóu,Vp,"to be ripe, to ripen",chín,จะทำให้สุกเพื่อทำให้สุก,မှည့်ရန်၊,熟す、熟す,"익다, 익다","estar maduro, madurar","menjadi matang, menjadi matang",3
6-1,21,片,piàn,M,"measure word for a stretch, swath (of land)",lượng từ cho một mảnh đất,"วัดคำเพื่อยืด, แนว (ของที่ดิน)",အတ္ထိ၊ တိုင်းထွာ (မြေ)၊,（土地の）一帯、一帯を表す言葉,(땅의) 스와스(swath)에 대한 단어를 측정하다,"medir palabra para un tramo, franja (de tierra)","mengukur kata untuk bentangan, petak (tanah)",3
6-1,22,田,tián,N,"field, plot of land, paddy",cánh đồng,"นา, ที่ดิน, ข้าวเปลือก",လယ်၊ မြေကွက်၊ စပါး,畑、土地、水田,"들판, 토지, 논","campo, parcela de tierra, arrozal","ladang, sebidang tanah, sawah",3
6-1,23,照顧,zhàogù,V,to take care of ,chăm sóc,ที่จะดูแล,ဂရုစိုက်ရန်,世話をする,보살펴 주다,cuidar de,diurus,3
6-1,24,敢,gǎn,Vaux,to dare,dám (làm gì),ที่จะกล้า,ရဲရဲ,あえてする,감히,atreverse,berani,3
6-1,25,條件,tiáojiàn,N,"terms, conditions, (here) good qualities (in a prospective spouse)","điều kiện, tiêu chuẩn",เงื่อนไข เงื่อนไข (ที่นี่) คุณสมบัติที่ดี (ในคู่สมรส),စည်းကမ်းသတ်မှတ်ချက်များ၊ (ဤနေရာတွင်) ကောင်းမွန်သောအရည်အသွေးများ (အနာဂတ်အိမ်ထောင်ဖက်အတွက်)၊,契約条件、（ここに）（将来の配偶者の）良い点,"조건, (여기) 좋은 자질 (미래 배우자의 경우)","términos, condiciones, (aquí) buenas cualidades (en un futuro cónyuge)","syarat, ketentuan, (di sini) sifat-sifat baik (pada calon pasangan)",3
6-1,26,黑,hēi,Vp,"dark, black","tối, đen",มืดดำ,အနက်ရောင်,暗い、黒い,"다크, 블랙","oscuro, negro","gelap, hitam",3
6-1,27,摘下來,zhāi xiàlái,,"to pluck, to pick (e.g., fruit from a tree)",hái xuống,"ถอน, หยิบ (เช่น ผลไม้จากต้นไม้)",ဆွတ်ရန်၊ ခူးရန် (ဥပမာ၊ သစ်ပင်မှအသီး),摘む、摘む（例：木から果物）,"따다, 따다 (예: 나무에서 과일을 따다)","arrancar, recoger (por ejemplo, fruta de un árbol)","memetik, memetik (misalnya, buah dari pohon)",3
6-1,28,做不動,zuò bú dòng,,to be unable to physically function due to old age,làm không nổi (vì tuổi già),ทำให้ร่างกายไม่สามารถทำหน้าที่ได้เนื่องจากวัยชรา,အသက်ကြီးခြင်းကြောင့် ရုပ်ပိုင်းဆိုင်ရာ မလုပ်ဆောင်နိုင်ခြင်း၊,加齢により身体的に機能できなくなること,노령으로 인해 신체적 기능을 할 수 없게 되다,no poder funcionar físicamente debido a la vejez,tidak dapat berfungsi secara fisik karena usia tua,3
6-1,29,基因改造,jīyīn gǎizào,,genetically modified ,biến đổi gen,ดัดแปลงพันธุกรรม,မျိုးဗီဇပြုပြင်ထားသော,遺伝子組み換えされた,유전자 변형,genéticamente modificado,dimodifikasi secara genetik,3
6-1,30,忙得過來,máng de guòlái,,to be able to manage everything,bận cũng xoay xở được,เพื่อให้สามารถจัดการทุกอย่างได้,အရာအားလုံးကို စီမံခန့်ခွဲနိုင်ပါစေ။,すべてを管理できるようになる,모든 것을 관리할 수 있도록,poder gestionarlo todo,bisa mengatur semuanya,3
6-1,31,開玩笑,kāi wánxiào,,"to joke, to kid",đùa giỡn,เพื่อล้อเล่นเพื่อเด็ก,ဟာသ၊ ကလေး,冗談を言う、子供に,"농담하다, 꼬마에게","bromear, bromear","bercanda, bercanda",3
6-1,32,看天吃飯,kàntiān chīfàn,,livelihood depends on the whims of nature,"làm nông ""trông trời trông đất""",การดำรงชีวิตขึ้นอยู่กับความตั้งใจของธรรมชาติ,အသက်မွေးဝမ်းကြောင်းပြုခြင်းသည် သဘာဝတရားပေါ်တွင် မူတည်သည်။,生計は自然の気まぐれに依存する,생계는 자연의 변덕에 달려있다,El sustento depende de los caprichos de la naturaleza,penghidupan tergantung pada keinginan alam,3
6-2,1,小農,xiǎonóng,N,small farmer,nông dân nhỏ,เกษตรกรรายย่อย,လယ်သမားငယ်,小さな農家,소농,pequeño agricultor,petani kecil,3
6-2,2,市集,shìjí,N,"bazaar, market","chợ, phiên chợ",ตลาดสดตลาด,စျေး၊ ဈေး,バザール、市場,"바자회, 시장","bazar, mercado","pasar, pasar",3
6-2,3,食材,shícái,N,"food materials, ingredients",nguyên liệu thực phẩm,วัตถุดิบอาหารส่วนผสม,အစားအသောက်ပစ္စည်းများ၊ ပါဝင်ပစ္စည်းများ,食材、食材,"식재료, 식재료","materiales alimentarios, ingredientes","bahan makanan, bahan",3
6-2,4,產地,chǎndì,N,place of origin,nơi sản xuất,สถานที่กำเนิด,မူလနေရာ,出身地,원산지,lugar de origen,tempat asal,3
6-2,5,盡量,jìnliàng,Adv,to do one's best to,cố gắng hết sức,เพื่อทำให้ดีที่สุด,အကောင်းဆုံးလုပ်ဖို့,最善を尽くすこと,최선을 다하다,hacer lo mejor que uno pueda para,melakukan yang terbaik,3
6-2,6,友善,yǒushàn,Vs,friendly,thân thiện,เป็นกันเอง,ဖော်ရွေသော,フレンドリー,친숙한,amigable,ramah,3
6-2,7,對待,duìdài,V,to treat,đối xử,เพื่อรักษา,ကုသရန်,治療する,치료하다,tratar,mengobati,3
6-2,8,土地,tǔdì,N,land,đất đai,ที่ดิน,မြေ,土地,땅,tierra,tanah,3
6-2,9,信任,xìnrèn,Vst,to trust,tin tưởng,ที่จะไว้วางใจ,ယုံကြည်ရန်,信頼する,신뢰하다,confiar,percaya,3
